Series;Time;Value
Power;2015-06-06T20:19:05.000Z;1943.1175
Power;2015-06-06T20:19:10.000Z;1941.974
Power;2015-06-06T20:19:15.000Z;1938.9725
Power;2015-06-06T20:19:20.000Z;1938.92
Power;2015-06-06T20:19:25.000Z;1938.25
Power;2015-06-06T20:19:30.000Z;1935.816
Power;2015-06-06T20:19:35.000Z;1933.5124999999998
Power;2015-06-06T20:19:40.000Z;1932.5520000000001
Power;2015-06-06T20:19:45.000Z;1933.0966666666668
Power;2015-06-06T20:19:50.000Z;1934.1725000000001
Power;2015-06-06T20:19:55.000Z;1933.76
Power;2015-06-06T20:20:00.000Z;1932.92
Power;2015-06-06T20:20:05.000Z;1932.66
Power;2015-06-06T20:20:10.000Z;1932.4460000000004
Power;2015-06-06T20:20:15.000Z;1932.3925000000002
Power;2015-06-06T20:20:20.000Z;1932.234
Power;2015-06-06T20:20:25.000Z;1933.3150000000003
Power;2015-06-06T20:20:30.000Z;1947.5
Power;2015-06-06T20:20:35.000Z;1961.6075
Power;2015-06-06T20:20:40.000Z;1961.346
Power;2015-06-06T20:20:45.000Z;1962.6599999999999
Power;2015-06-06T20:20:50.000Z;1963.255
Power;2015-06-06T20:20:55.000Z;1964.0299999999997
Power;2015-06-06T20:21:00.000Z;1964.77
Power;2015-06-06T20:21:05.000Z;1960.712
Power;2015-06-06T20:21:10.000Z;1963.385
Power;2015-06-06T20:21:15.000Z;1965.558
Power;2015-06-06T20:21:20.000Z;1963.1875
Power;2015-06-06T20:21:25.000Z;1961.346
Power;2015-06-06T20:21:30.000Z;1960.0950000000003
Power;2015-06-06T20:21:35.000Z;1960.7679999999998
Power;2015-06-06T20:21:40.000Z;1960.9524999999999
Power;2015-06-06T20:21:45.000Z;1961.556
Power;2015-06-06T20:21:50.000Z;1963.1879999999999
Power;2015-06-06T20:21:55.000Z;1966.74
Power;2015-06-06T20:22:00.000Z;1968.19
Power;2015-06-06T20:22:05.000Z;1966.8719999999998
Power;2015-06-06T20:22:10.000Z;1966.61
Power;2015-06-06T20:22:15.000Z;1966.2939999999999
Power;2015-06-06T20:22:20.000Z;1965.4899999999998
Power;2015-06-06T20:22:25.000Z;1962.396
Power;2015-06-06T20:22:30.000Z;1960.4875
Power;2015-06-06T20:22:35.000Z;1960.2379999999998
Power;2015-06-06T20:22:40.000Z;1950.5549999999998
Power;2015-06-06T20:22:45.000Z;1931.0239999999997
Power;2015-06-06T20:22:50.000Z;1924.89
Power;2015-06-06T20:22:55.000Z;1928.342
Power;2015-06-06T20:23:00.000Z;1929.5
Power;2015-06-06T20:23:05.000Z;1931.236
Power;2015-06-06T20:23:10.000Z;1932.1950000000002
Power;2015-06-06T20:23:15.000Z;1930.0279999999998
Power;2015-06-06T20:23:20.000Z;1927.9200000000003
Power;2015-06-06T20:23:25.000Z;1928.4479999999999
Power;2015-06-06T20:23:30.000Z;1930.3525
Power;2015-06-06T20:23:35.000Z;1931.3400000000001
Power;2015-06-06T20:23:40.000Z;1931.0766666666668
Power;2015-06-06T20:23:45.000Z;1931.3375
Power;2015-06-06T20:23:50.000Z;1932.2880000000002
Power;2015-06-06T20:23:55.000Z;1934.17
Power;2015-06-06T20:24:00.000Z;1934.76
Power;2015-06-06T20:24:05.000Z;1932.1840000000002
Power;2015-06-06T20:24:10.000Z;1927.655
Power;2015-06-06T20:24:15.000Z;1941.714
Power;2015-06-06T20:24:20.000Z;1955.8825
Power;2015-06-06T20:24:25.000Z;1958.292
Power;2015-06-06T20:24:30.000Z;1956.4775
Power;2015-06-06T20:24:35.000Z;1951.6059999999998
Power;2015-06-06T20:24:40.000Z;1950.62
Power;2015-06-06T20:24:45.000Z;1950.238
Power;2015-06-06T20:24:50.000Z;1952.5300000000002
